date,product,region,sales_channel,quantity,unit_price,revenue,cost,profit,profit_margin
2025-02-06,Noise-Canceling Headphones,North America,Enterprise,7,299.99,2099.93,1050.0,1049.93,50.0
2025-02-11,Noise-Canceling Headphones,South America,Retail,6,299.99,1799.94,900.0,899.94,50.0
2025-02-11,HD Webcam,North America,Enterprise,16,89.99,1439.84,720.0,719.84,49.99
2025-02-11,Monitor 27inch,North America,Online,2,399.99,799.98,500.0,299.98,37.5
2025-02-11,USB-C Hub,Asia,Online,10,49.99,499.9,220.0,279.9,55.99
2025-02-12,Noise-Canceling Headphones,North America,Retail,33,299.99,9899.67,4950.0,4949.67,50.0
2025-02-12,HD Webcam,South America,Online,11,89.99,989.89,495.0,494.89,49.99
2025-02-15,USB-C Hub,Asia,Partner,16,49.99,799.84,352.0,447.84,55.99
2025-02-15,Laptop Pro,Europe,Retail,32,1299.99,41599.68,30400.0,11199.68,26.92
2025-02-16,Noise-Canceling Headphones,Australia,Retail,25,299.99,7499.75,3750.0,3749.75,50.0
2025-02-16,Ergonomic Chair,Australia,Retail,24,449.99,10799.76,6720.0,4079.76,37.78
2025-02-16,Portable SSD 1TB,North America,Retail,45,129.99,5849.55,3600.0,2249.55,38.46
2025-02-17,Monitor 27inch,Europe,Online,19,399.99,7599.81,4750.0,2849.81,37.5
2025-02-17,USB-C Hub,Australia,Partner,38,49.99,1899.62,836.0,1063.62,55.99
2025-02-17,USB-C Hub,Europe,Partner,47,49.99,2349.53,1034.0,1315.53,55.99
2025-02-18,Ergonomic Chair,Europe,Retail,50,449.99,22499.5,14000.0,8499.5,37.78
2025-02-18,Desk Lamp LED,South America,Retail,31,39.99,1239.69,558.0,681.69,54.99
2025-02-18,Noise-Canceling Headphones,North America,Partner,16,299.99,4799.84,2400.0,2399.84,50.0
2025-02-18,Desk Lamp LED,Australia,Retail,8,39.99,319.92,144.0,175.92,54.99
2025-02-18,HD Webcam,Asia,Online,22,89.99,1979.78,990.0,989.78,49.99
2025-02-18,Noise-Canceling Headphones,Australia,Partner,21,299.99,6299.79,3150.0,3149.79,50.0
2025-02-21,Desk Lamp LED,South America,Retail,29,39.99,1159.71,522.0,637.71,54.99
2025-02-21,Noise-Canceling Headphones,North America,Online,29,299.99,8699.71,4350.0,4349.71,50.0
2025-02-21,Mechanical Keyboard,North America,Retail,5,149.99,749.95,375.0,374.95,50.0
2025-02-21,Wireless Mouse,Australia,Retail,11,29.99,329.89,132.0,197.89,59.99
2025-02-22,Mechanical Keyboard,South America,Online,29,149.99,4349.71,2175.0,2174.71,50.0
2025-02-23,Wireless Mouse,Europe,Enterprise,21,29.99,629.79,252.0,377.79,59.99
2025-02-26,Wireless Mouse,Asia,Enterprise,11,29.99,329.89,132.0,197.89,59.99
2025-02-26,USB-C Hub,Australia,Retail,30,49.99,1499.7,660.0,839.7,55.99
2025-02-27,Portable SSD 1TB,Europe,Enterprise,36,129.99,4679.64,2880.0,1799.64,38.46
2025-02-27,Mechanical Keyboard,Europe,Partner,2,149.99,299.98,150.0,149.98,50.0
2025-02-28,USB-C Hub,Europe,Retail,28,49.99,1399.72,616.0,783.72,55.99
2025-03-01,Desk Lamp LED,South America,Retail,10,39.99,399.9,180.0,219.9,54.99
2025-03-02,Laptop Pro,Australia,Enterprise,36,1299.99,46799.64,34200.0,12599.64,26.92
2025-03-02,Monitor 27inch,Australia,Enterprise,16,399.99,6399.84,4000.0,2399.84,37.5
2025-03-03,Desk Lamp LED,Europe,Partner,49,39.99,1959.51,882.0,1077.51,54.99
2025-03-03,Laptop Pro,Europe,Online,46,1299.99,59799.54,43700.0,16099.54,26.92
2025-03-03,Monitor 27inch,North America,Online,48,399.99,19199.52,12000.0,7199.52,37.5
2025-03-03,Noise-Canceling Headphones,North America,Enterprise,48,299.99,14399.52,7200.0,7199.52,50.0
2025-03-04,Ergonomic Chair,South America,Partner,26,449.99,11699.74,7280.0,4419.74,37.78
2025-03-05,Wireless Mouse,Australia,Online,50,29.99,1499.5,600.0,899.5,59.99
2025-03-06,Desk Lamp LED,North America,Retail,28,39.99,1119.72,504.0,615.72,54.99
2025-03-08,Wireless Mouse,North America,Retail,30,29.99,899.7,360.0,539.7,59.99
2025-03-08,Portable SSD 1TB,North America,Online,3,129.99,389.97,240.0,149.97,38.46
2025-03-09,Laptop Pro,Asia,Enterprise,37,1299.99,48099.63,35150.0,12949.63,26.92
2025-03-09,Portable SSD 1TB,Europe,Enterprise,1,129.99,129.99,80.0,49.99,38.46
2025-03-13,Mechanical Keyboard,Europe,Online,9,149.99,1349.91,675.0,674.91,50.0
2025-03-15,Noise-Canceling Headphones,Europe,Retail,36,299.99,10799.64,5400.0,5399.64,50.0
2025-03-15,HD Webcam,South America,Enterprise,15,89.99,1349.85,675.0,674.85,49.99
2025-03-15,Ergonomic Chair,Australia,Partner,25,449.99,11249.75,7000.0,4249.75,37.78
2025-03-15,Wireless Mouse,North America,Retail,28,29.99,839.72,336.0,503.72,59.99
2025-03-16,Laptop Pro,South America,Partner,18,1299.99,23399.82,17100.0,6299.82,26.92
2025-03-16,Portable SSD 1TB,South America,Partner,34,129.99,4419.66,2720.0,1699.66,38.46
2025-03-17,Laptop Pro,North America,Retail,21,1299.99,27299.79,19950.0,7349.79,26.92
2025-03-17,HD Webcam,South America,Online,39,89.99,3509.61,1755.0,1754.61,49.99
2025-03-18,Laptop Pro,North America,Retail,18,1299.99,23399.82,17100.0,6299.82,26.92
2025-03-18,Desk Lamp LED,Asia,Partner,10,39.99,399.9,180.0,219.9,54.99
2025-03-18,Noise-Canceling Headphones,North America,Enterprise,6,299.99,1799.94,900.0,899.94,50.0
2025-03-18,USB-C Hub,South America,Retail,48,49.99,2399.52,1056.0,1343.52,55.99
2025-03-20,Portable SSD 1TB,North America,Partner,20,129.99,2599.8,1600.0,999.8,38.46
2025-03-22,Portable SSD 1TB,North America,Enterprise,3,129.99,389.97,240.0,149.97,38.46
2025-03-22,Monitor 27inch,Australia,Online,19,399.99,7599.81,4750.0,2849.81,37.5
2025-03-23,HD Webcam,Australia,Online,14,89.99,1259.86,630.0,629.86,49.99
2025-03-23,Portable SSD 1TB,North America,Partner,32,129.99,4159.68,2560.0,1599.68,38.46
2025-03-23,USB-C Hub,Asia,Enterprise,28,49.99,1399.72,616.0,783.72,55.99
2025-03-23,USB-C Hub,Europe,Enterprise,36,49.99,1799.64,792.0,1007.64,55.99
2025-03-24,Portable SSD 1TB,Asia,Enterprise,19,129.99,2469.81,1520.0,949.81,38.46
2025-03-27,HD Webcam,Australia,Partner,49,89.99,4409.51,2205.0,2204.51,49.99
2025-03-27,HD Webcam,North America,Enterprise,9,89.99,809.91,405.0,404.91,49.99
2025-03-27,Noise-Canceling Headphones,Europe,Enterprise,34,299.99,10199.66,5100.0,5099.66,50.0
2025-03-28,Portable SSD 1TB,Europe,Partner,34,129.99,4419.66,2720.0,1699.66,38.46
2025-03-28,Desk Lamp LED,South America,Enterprise,30,39.99,1199.7,540.0,659.7,54.99
2025-03-31,Ergonomic Chair,Asia,Partner,34,449.99,15299.66,9520.0,5779.66,37.78
2025-03-31,Mechanical Keyboard,Australia,Retail,48,149.99,7199.52,3600.0,3599.52,50.0
2025-04-01,Noise-Canceling Headphones,Australia,Online,1,299.99,299.99,150.0,149.99,50.0
2025-04-03,Desk Lamp LED,Australia,Enterprise,50,39.99,1999.5,900.0,1099.5,54.99
2025-04-03,Laptop Pro,Europe,Retail,47,1299.99,61099.53,44650.0,16449.53,26.92
2025-04-03,Ergonomic Chair,Asia,Partner,34,449.99,15299.66,9520.0,5779.66,37.78
2025-04-03,Mechanical Keyboard,Australia,Online,10,149.99,1499.9,750.0,749.9,50.0
2025-04-04,Laptop Pro,Australia,Enterprise,16,1299.99,20799.84,15200.0,5599.84,26.92
2025-04-05,Laptop Pro,North America,Retail,48,1299.99,62399.52,45600.0,16799.52,26.92
2025-04-06,Desk Lamp LED,Europe,Enterprise,41,39.99,1639.59,738.0,901.59,54.99
2025-04-06,Monitor 27inch,Australia,Online,19,399.99,7599.81,4750.0,2849.81,37.5
2025-04-06,HD Webcam,Asia,Online,15,89.99,1349.85,675.0,674.85,49.99
2025-04-07,USB-C Hub,North America,Partner,46,49.99,2299.54,1012.0,1287.54,55.99
2025-04-07,Desk Lamp LED,South America,Online,47,39.99,1879.53,846.0,1033.53,54.99
2025-04-08,Desk Lamp LED,North America,Online,31,39.99,1239.69,558.0,681.69,54.99
2025-04-09,Laptop Pro,Europe,Online,9,1299.99,11699.91,8550.0,3149.91,26.92
2025-04-10,Desk Lamp LED,Asia,Online,30,39.99,1199.7,540.0,659.7,54.99
2025-04-11,Portable SSD 1TB,Europe,Online,18,129.99,2339.82,1440.0,899.82,38.46
2025-04-12,Noise-Canceling Headphones,Asia,Retail,42,299.99,12599.58,6300.0,6299.58,50.0
2025-04-13,Noise-Canceling Headphones,Europe,Retail,24,299.99,7199.76,3600.0,3599.76,50.0
2025-04-13,HD Webcam,Asia,Online,14,89.99,1259.86,630.0,629.86,49.99
2025-04-16,HD Webcam,North America,Partner,47,89.99,4229.53,2115.0,2114.53,49.99
2025-04-18,Portable SSD 1TB,Asia,Enterprise,47,129.99,6109.53,3760.0,2349.53,38.46
2025-04-20,Wireless Mouse,Australia,Online,15,29.99,449.85,180.0,269.85,59.99
2025-04-20,Ergonomic Chair,Asia,Retail,30,449.99,13499.7,8400.0,5099.7,37.78
2025-04-21,Ergonomic Chair,South America,Retail,16,449.99,7199.84,4480.0,2719.84,37.78
2025-04-21,Desk Lamp LED,North America,Partner,36,39.99,1439.64,648.0,791.64,54.99
2025-04-22,USB-C Hub,South America,Enterprise,17,49.99,849.83,374.0,475.83,55.99
2025-04-23,Portable SSD 1TB,Asia,Enterprise,3,129.99,389.97,240.0,149.97,38.46
2025-04-23,Noise-Canceling Headphones,Australia,Online,14,299.99,4199.86,2100.0,2099.86,50.0
2025-04-24,USB-C Hub,North America,Enterprise,49,49.99,2449.51,1078.0,1371.51,55.99
2025-04-24,Wireless Mouse,Australia,Enterprise,8,29.99,239.92,96.0,143.92,59.99
2025-04-25,Wireless Mouse,North America,Partner,44,29.99,1319.56,528.0,791.56,59.99
2025-04-26,Mechanical Keyboard,Asia,Retail,15,149.99,2249.85,1125.0,1124.85,50.0
2025-04-28,Noise-Canceling Headphones,Asia,Online,26,299.99,7799.74,3900.0,3899.74,50.0
2025-04-29,Mechanical Keyboard,North America,Enterprise,13,149.99,1949.87,975.0,974.87,50.0
2025-04-29,Portable SSD 1TB,Europe,Partner,50,129.99,6499.5,4000.0,2499.5,38.46
2025-04-30,USB-C Hub,South America,Online,43,49.99,2149.57,946.0,1203.57,55.99
2025-04-30,Monitor 27inch,South America,Online,47,399.99,18799.53,11750.0,7049.53,37.5
2025-05-04,Wireless Mouse,Asia,Online,1,29.99,29.99,12.0,17.99,59.99
2025-05-04,Mechanical Keyboard,North America,Enterprise,22,149.99,3299.78,1650.0,1649.78,50.0
2025-05-06,HD Webcam,South America,Online,24,89.99,2159.76,1080.0,1079.76,49.99
2025-05-06,Laptop Pro,Europe,Online,37,1299.99,48099.63,35150.0,12949.63,26.92
2025-05-06,Noise-Canceling Headphones,North America,Online,2,299.99,599.98,300.0,299.98,50.0
2025-05-07,Monitor 27inch,South America,Retail,5,399.99,1999.95,1250.0,749.95,37.5
2025-05-08,HD Webcam,Australia,Online,10,89.99,899.9,450.0,449.9,49.99
2025-05-11,USB-C Hub,Europe,Retail,1,49.99,49.99,22.0,27.99,55.99
2025-05-12,Portable SSD 1TB,Asia,Online,46,129.99,5979.54,3680.0,2299.54,38.46
2025-05-13,Wireless Mouse,Asia,Online,14,29.99,419.86,168.0,251.86,59.99
2025-05-13,Mechanical Keyboard,South America,Retail,49,149.99,7349.51,3675.0,3674.51,50.0
2025-05-13,Desk Lamp LED,Europe,Partner,9,39.99,359.91,162.0,197.91,54.99
2025-05-14,HD Webcam,Australia,Online,28,89.99,2519.72,1260.0,1259.72,49.99
2025-05-14,Ergonomic Chair,Europe,Retail,20,449.99,8999.8,5600.0,3399.8,37.78
2025-05-14,HD Webcam,Australia,Retail,21,89.99,1889.79,945.0,944.79,49.99
2025-05-14,Laptop Pro,North America,Retail,21,1299.99,27299.79,19950.0,7349.79,26.92
2025-05-17,HD Webcam,South America,Enterprise,17,89.99,1529.83,765.0,764.83,49.99
2025-05-17,HD Webcam,Australia,Partner,46,89.99,4139.54,2070.0,2069.54,49.99
2025-05-18,Mechanical Keyboard,Australia,Partner,17,149.99,2549.83,1275.0,1274.83,50.0
2025-05-20,Noise-Canceling Headphones,Australia,Online,18,299.99,5399.82,2700.0,2699.82,50.0
2025-05-20,Noise-Canceling Headphones,Australia,Enterprise,2,299.99,599.98,300.0,299.98,50.0
2025-05-23,Ergonomic Chair,Asia,Enterprise,17,449.99,7649.83,4760.0,2889.83,37.78
2025-05-27,Ergonomic Chair,North America,Online,41,449.99,18449.59,11480.0,6969.59,37.78
2025-05-28,HD Webcam,Australia,Enterprise,39,89.99,3509.61,1755.0,1754.61,49.99
2025-05-28,Monitor 27inch,Australia,Online,35,399.99,13999.65,8750.0,5249.65,37.5
2025-05-30,Ergonomic Chair,North America,Retail,33,449.99,14849.67,9240.0,5609.67,37.78
2025-05-30,Monitor 27inch,South America,Online,32,399.99,12799.68,8000.0,4799.68,37.5
2025-06-01,HD Webcam,Australia,Retail,41,89.99,3689.59,1845.0,1844.59,49.99
2025-06-02,Wireless Mouse,North America,Enterprise,18,29.99,539.82,216.0,323.82,59.99
2025-06-03,USB-C Hub,North America,Online,17,49.99,849.83,374.0,475.83,55.99
2025-06-04,Noise-Canceling Headphones,Australia,Partner,6,299.99,1799.94,900.0,899.94,50.0
2025-06-04,Portable SSD 1TB,Australia,Retail,3,129.99,389.97,240.0,149.97,38.46
2025-06-05,Desk Lamp LED,South America,Enterprise,13,39.99,519.87,234.0,285.87,54.99
2025-06-06,Wireless Mouse,North America,Online,34,29.99,1019.66,408.0,611.66,59.99
2025-06-08,Noise-Canceling Headphones,South America,Online,5,299.99,1499.95,750.0,749.95,50.0
2025-06-08,Mechanical Keyboard,North America,Retail,20,149.99,2999.8,1500.0,1499.8,50.0
2025-06-09,Laptop Pro,Asia,Retail,16,1299.99,20799.84,15200.0,5599.84,26.92
2025-06-09,Noise-Canceling Headphones,Asia,Partner,10,299.99,2999.9,1500.0,1499.9,50.0
2025-06-10,Monitor 27inch,Australia,Online,16,399.99,6399.84,4000.0,2399.84,37.5
2025-06-11,Noise-Canceling Headphones,Europe,Enterprise,34,299.99,10199.66,5100.0,5099.66,50.0
2025-06-12,Portable SSD 1TB,South America,Online,22,129.99,2859.78,1760.0,1099.78,38.46
2025-06-12,Portable SSD 1TB,Europe,Enterprise,20,129.99,2599.8,1600.0,999.8,38.46
